state_code,district_code,district_name
01,01,BATU PAHAT
01,03,KLUANG
01,04,KOTA TINGGI
01,05,MERSING
01,06,MUAR
01,08,SEGAMAT
01,21,KULAI
01,22,TANGKAK
01,02,JOHOR BAHRU
01,07,PONTIAN
02,01,KOTA SETAR
02,02,KUBANG PASU
02,09,KULIM
02,05,KUALA MUDA
02,11,PENDANG
02,12,POKOK SENA
02,04,LANGKAWI
02,08,BALING
02,10,BANDAR BAHARU
02,03,PADANG TERAP
02,06,YAN
02,07,SIK
03,01,BACHOK
03,02,KOTA BHARU
03,03,MACHANG
03,04,PASIR MAS
03,05,PASIR PUTEH
03,07,TUMPAT
03,10,KUALA KRAI
03,08,GUA MUSANG
03,06,TANAH MERAH
03,12,KECIL LOJING
05,01,JELEBU
05,02,KUALA PILAH
05,04,REMBAU
05,05,SEREMBAN
05,06,TAMPIN
05,07,JEMPOL
05,03,PORT DICKSON
06,08,TEMERLOH
06,03,JERANTUT
06,04,KUANTAN
06,10,MARAN
06,01,BENTONG
06,15,KECIL MUADZAM SHAH
06,06,PEKAN
06,07,RAUB
06,09,ROMPIN
06,02,CAMERON HIGHLANDS
06,11,BERA
07,01,SEBERANG PERAI TENGAH
07,03,SEBERANG PERAI SELATAN
07,04,TIMOR LAUT
07,05,BARAT DAYA
08,06,LARUT MATANG DAN SELAMA
08,07,HILIR PERAK
08,13,BAGAN DATUK
08,10,PERAK TENGAH
08,01,BATANG PADANG
08,03,KINTA
08,04,KERIAN
08,05,KUALA KANGSAR
08,08,HULU PERAK
08,09,SELAMA
08,12,MUALLIM
08,02,MANJUNG
08,11,KAMPAR
09,01,PERLIS
10,04,KUALA SELANGOR
10,10,SEPANG
10,08,PETALING
10,06,ULU LANGAT
10,07,ULU SELANGOR
10,09,GOMBAK
10,05,SABAK BERNAM
10,02,KUALA LANGAT
10,01,KLANG
11,01,BESUT
11,02,DUNGUN
11,04,KUALA TERENGGANU
11,05,HULU TERENGGANU
11,06,MARANG
11,03,KEMAMAN
14,01,KUALA LUMPUR
04,01,MELAKA TENGAH
04,02,JASIN
04,03,ALOR GAJAH
03,11,JELI
16,01,PUTRAJAYA
15,01,LABUAN
11,08,KUALA NERUS
07,02,SEBERANG PERAI UTARA
13,06,SIMUNJAN
13,45,GEDONG
13,04,SAMARAHAN
13,07,SRI AMAN
13,41,PANTU
13,42,LINGGA
13,43,SIBURAN
13,32,TEBEDU
13,02,BAU
13,12,MERADONG
13,30,PAKAN
13,14,JULAU
13,31,SELANGAU
13,15,SIBU
13,18,KANOWIT
13,36,SEBAUH
13,37,BUKIT MABONG
13,22,SONG
13,29,ASAJAYA
13,44,SEBUYAU
13,11,SARIKEI
13,35,TANJUNG MANIS
13,13,DARO
13,20,TATAU
13,40,TELANG USAN
13,27,LAWAS
13,38,SUBIS
13,39,BELURU
13,25,MARUDI
13,23,BELAGA
13,17,MUKAH
13,21,KAPIT
13,16,DALAT
13,28,MATU
13,34,KABONG
13,10,SARATOK
13,09,BETONG
13,08,LUBOK ANTU
13,33,PUSA
13,05,SERIAN
13,03,LUNDU
13,01,KUCHING
13,24,MIRI
13,26,LIMBANG
06,05,LIPIS
06,14,KECIL JELAI
11,07,SETIU
06,12,KECIL GENTING
06,13,KECIL GEBENG
12,01,KOTA KINABALU
12,02,PAPAR
12,04,TUARAN
12,05,KUDAT
12,06,RANAU
12,07,SANDAKAN
12,08,BELURAN
12,09,KINABATANGAN
12,10,TAWAU
12,12,SEMPORNA
12,13,KENINGAU
12,14,TAMBUNAN
12,15,NABAWAN
12,16,TENOM
12,17,BEAUFORT
12,18,KUALA PENYU
12,21,PENAMPANG
12,22,KOTA MARUDU
12,24,KUNAK
12,25,TONGOD
12,26,PUTATAN
12,27,TELUPID
12,28,KALABAKAN
12,29,MEMBAKUT
12,03,KOTA BELUD
12,19,SIPITANG
12,11,LAHAD DATU
12,23,PITAS
13,19,BINTULU
