state_code,state_name,district_code,district_name,mukim_code,mukim_name,mukim_id
01,JOHOR,01,BATU PAHAT,04,LINAU,1030000001
01,JOHOR,01,BATU PAHAT,07,PESERAI,1030000002
01,JOHOR,01,BATU PAHAT,08,SRI GADING,1030000079
01,JOHOR,01,BATU PAHAT,09,SRI MEDAN,1030000003
01,JOHOR,03,KLUANG,01,ULU BENUT,1030000004
01,JOHOR,03,KLUANG,05,MACHAP,1030001849
01,JOHOR,03,KLUANG,40,BANDAR KLUANG,1030000006
01,JOHOR,04,KOTA TINGGI,05,KOTA TINGGI,1030000082
01,JOHOR,05,MERSING,02,LENGGOR,1030000007
01,JOHOR,05,MERSING,11,SEMBRONG,1030000008
01,JOHOR,06,MUAR,01,AYER HITAM,1030000009
01,JOHOR,06,MUAR,10,LENGA,1030000010
01,JOHOR,08,SEGAMAT,02,BULOH KASAP,1030000011
01,JOHOR,08,SEGAMAT,06,JABI,1030002001
01,JOHOR,08,SEGAMAT,11,SUNGAI SEGAMAT,1030000013
01,JOHOR,01,BATU PAHAT,02,CHAAH BAHRU,1030000014
01,JOHOR,21,KULAI,02,SENAI,1030000015
01,JOHOR,22,TANGKAK,70,PEKAN GRISEK,1030000016
01,JOHOR,22,TANGKAK,04,SEROM,1030000017
01,JOHOR,01,BATU PAHAT,10,SIMPANG KANAN,1030000018
01,JOHOR,01,BATU PAHAT,11,SIMPANG KIRI,1030000019
01,JOHOR,01,BATU PAHAT,14,TANJUNG SEMBRONG,1030000076
01,JOHOR,01,BATU PAHAT,40,BANDAR AYER HITAM,1030000020
01,JOHOR,01,BATU PAHAT,41,BANDAR BANDAR PENGGARAM,1030000021
01,JOHOR,01,BATU PAHAT,42,BANDAR RENGIT,1030000022
01,JOHOR,01,BATU PAHAT,43,BANDAR SENGGARANG,1030000023
01,JOHOR,01,BATU PAHAT,44,BANDAR YONG PENG,1030000024
01,JOHOR,02,JOHOR BAHRU,01,JELUTONG,1030001853
01,JOHOR,02,JOHOR BAHRU,08,TEBRAU,1030000081
01,JOHOR,02,JOHOR BAHRU,42,BANDAR TEBRAU,1030000026
01,JOHOR,03,KLUANG,02,KAHANG,1030000027
01,JOHOR,03,KLUANG,03,KLUANG,1030000078
01,JOHOR,03,KLUANG,04,LAYANG-LAYANG,1030000028
01,JOHOR,03,KLUANG,06,NIYOR,1030000029
01,JOHOR,03,KLUANG,07,PALOH,1030001854
01,JOHOR,03,KLUANG,08,RENGAM,1030000077
01,JOHOR,03,KLUANG,41,BANDAR PALOH,1030000030
01,JOHOR,03,KLUANG,42,BANDAR RENGAM,1030000031
01,JOHOR,04,KOTA TINGGI,01,ULU SUNGAI JOHOR,1030001552
01,JOHOR,04,KOTA TINGGI,02,ULU SUNGEI SEDILI BESAR,1030000032
01,JOHOR,04,KOTA TINGGI,03,JOHOR LAMA,1030000033
01,JOHOR,04,KOTA TINGGI,40,BANDAR KOTA TINGGI,1030000034
01,JOHOR,05,MERSING,40,BANDAR JEMALUANG,1030000035
01,JOHOR,05,MERSING,42,BANDAR MERSING KANAN,1030000036
01,JOHOR,06,MUAR,03,BUKIT KEPONG,1030000037
01,JOHOR,06,MUAR,06,JALAN BAKRI,1030000038
01,JOHOR,06,MUAR,07,JORAK,1030000039
01,JOHOR,06,MUAR,16,SUNGAI RAYA,1030001856
01,JOHOR,06,MUAR,17,SUNGAI TERAP,1030001857
01,JOHOR,06,MUAR,42,BANDAR BUKIT KEPONG,1030000042
01,JOHOR,06,MUAR,43,BANDAR PANCHOR,1030000043
01,JOHOR,06,MUAR,45,BANDAR PARIT JAWA,1030000044
01,JOHOR,06,MUAR,70,PEKAN BUKIT PASIR,1030000045
01,JOHOR,07,PONTIAN,06,PENGKALAN RAJA,1030000046
01,JOHOR,07,PONTIAN,10,SUNGAI KARANG,1030001859
01,JOHOR,07,PONTIAN,11,SUNGEI PINGGAN,1030000048
01,JOHOR,07,PONTIAN,40,BANDAR BENUT,1030000049
01,JOHOR,07,PONTIAN,70,PEKAN PEKAN NENAS,1030000050
01,JOHOR,08,SEGAMAT,03,CHAAH,1030000051
01,JOHOR,08,SEGAMAT,05,GEMEREH,1030000053
01,JOHOR,08,SEGAMAT,08,LABIS,1030000075
01,JOHOR,08,SEGAMAT,10,SERMIN,1030000055
01,JOHOR,08,SEGAMAT,40,BANDAR BATU ANAM,1030000056
01,JOHOR,08,SEGAMAT,41,BANDAR BEKOK,1030000057
01,JOHOR,08,SEGAMAT,42,BANDAR BULOH KASAP,1030000058
01,JOHOR,08,SEGAMAT,43,BANDAR JEMENTAH,1030000059
01,JOHOR,08,SEGAMAT,44,BANDAR LABIS,1030000060
01,JOHOR,08,SEGAMAT,45,BANDAR SEGAMAT,1030000061
01,JOHOR,21,KULAI,40,BANDAR KULAI,1030000063
01,JOHOR,21,KULAI,01,KULAI,1030000064
01,JOHOR,21,KULAI,03,SEDENAK,1030000065
01,JOHOR,21,KULAI,04,BUKIT BATU,1030000066
01,JOHOR,22,TANGKAK,40,BANDAR BUKIT KANGKAR,1030000067
01,JOHOR,22,TANGKAK,41,BANDAR PARIT BUNGA,1030000068
01,JOHOR,22,TANGKAK,42,BANDAR SEROM,1030000069
01,JOHOR,22,TANGKAK,43,BANDAR SUNGAI MATI,1030000070
01,JOHOR,22,TANGKAK,44,BANDAR TANGKAK,1030000071
01,JOHOR,22,TANGKAK,03,GRISEK,1030000072
01,JOHOR,07,PONTIAN,05,JERAM BATU,1030000080
02,KEDAH,01,KOTA SETAR,70,PEKAN ALOR JANGGUS,1030000880
02,KEDAH,01,KOTA SETAR,72,PEKAN KOTA SARANG SEMUT,1030000979
02,KEDAH,02,KUBANG PASU,41,BANDAR JITRA,1030000892
02,KEDAH,09,KULIM,74,PEKAN MERBAU PULAS,1030000932
02,KEDAH,09,KULIM,77,PEKAN PADANG MEHA,1030000867
02,KEDAH,09,KULIM,08,NAGA LILIT,1030000994
02,KEDAH,05,KUALA MUDA,15,SUNGAI PETANI,1030000848
02,KEDAH,09,KULIM,10,PADANG MEHA,1030000926
02,KEDAH,09,KULIM,14,SUNGAI ULAR,1030000929
02,KEDAH,05,KUALA MUDA,01,BUJANG,1030000905
02,KEDAH,05,KUALA MUDA,03,GURUN,1030000906
02,KEDAH,05,KUALA MUDA,11,SEMELING,1030000907
