locality_id,state_id,state_name,locality_name
1,1,JOHOR,AIR BALOI
2,1,JOHOR,AIR HITAM
3,1,JOHOR,AIR MASIN
4,1,JOHOR,API API
5,1,JOHOR,ASAHAN
6,1,JOHOR,AYER BALOI
7,1,JOHOR,AYER BALOI PONTIAN
8,1,JOHOR,AYER HITAM
9,1,JOHOR,AYER TAWAR 2
10,1,JOHOR,BAGAN
11,1,JOHOR,BAKRI
12,1,JOHOR,BANDAR
13,1,JOHOR,BANDAR AYER HITAM
14,1,JOHOR,BANDAR BANDAR MAHARANI
15,1,JOHOR,BANDAR BANDAR PENGGARAM
16,1,JOHOR,BANDAR BARU KANGKAR PULAI
17,1,JOHOR,BANDAR BATU ANAM
18,1,JOHOR,BANDAR BEKOK
19,1,JOHOR,BANDAR BENUT
20,1,JOHOR,BANDAR BUKIT KANGKAR
21,1,JOHOR,BANDAR BUKIT KEPONG
22,1,JOHOR,BANDAR BULOH KASAP
23,1,JOHOR,BANDAR INDAHPURA
24,1,JOHOR,BANDAR JEMALUANG
25,1,JOHOR,BANDAR JEMENTAH
26,1,JOHOR,BANDAR JOHOR BAHRU
27,1,JOHOR,BANDAR KLUANG
28,1,JOHOR,BANDAR KOTA TINGGI
29,1,JOHOR,BANDAR KULAI
30,1,JOHOR,BANDAR LABIS
31,1,JOHOR,BANDAR MERSING
32,1,JOHOR,BANDAR MERSING KANAN
33,1,JOHOR,BANDAR PADANG ENDAU
34,1,JOHOR,BANDAR PALOH
35,1,JOHOR,BANDAR PANCHOR
36,1,JOHOR,BANDAR PARIT BUNGA
37,1,JOHOR,BANDAR PARIT JAWA
38,1,JOHOR,BANDAR PENAWAR
39,1,JOHOR,BANDAR PONTIAN KECHIL
40,1,JOHOR,BANDAR RENGIT
41,1,JOHOR,BANDAR SEGAMAT
42,1,JOHOR,BANDAR SENGGARANG
43,1,JOHOR,BANDAR SEROM
44,1,JOHOR,BANDAR SUNGAI MATI
45,1,JOHOR,BANDAR TANGKAK
46,1,JOHOR,BANDAR TEBRAU
47,1,JOHOR,BANDAR TENGGARA
48,1,JOHOR,BANDAR YONG PENG
49,1,JOHOR,BARU PAHAT
50,1,JOHOR,BATU ANAM
51,1,JOHOR,BATU ANAM SEGAMAT
52,1,JOHOR,BATU PAHAT
53,1,JOHOR,BATU PASIR
54,1,JOHOR,BEKOK
55,1,JOHOR,BENUT
