street_type_id,raw_type,canonical_type
1,ALUR,ALUR
2,AVENUE,AVENUE
3,BATU,BATU
4,BUKIT,BUKIT
5,BULATAN,BULATAN
6,CABANG,CABANG
7,CERUMAN,CERUMAN
8,CHANGKAT,CHANGKAT
9,CROSS,CROSS
10,DALAMAN,DALAMAN
11,DATARAN,DATARAN
12,DRIVE,DRIVE
13,GERBANG,GERBANG
14,GROVE,GROVE
15,HADAPAN,HADAPAN
16,HALA,HALA
17,HALAMAN,HALAMAN
18,HALUAN,HALUAN
19,HILIR,HILIR
20,HUJUNG,HUJUNG
21,JALAN,JALAN
21,JALAN-,JALAN
21,JALANG,JALAN
21,JALANJALAN,JALAN
22,JAMBATAN,JAMBATAN
23,JETTY,JETTY
24,KAMPNG,KAMPUNG
24,KAMPUNG,KAMPUNG
25,KELOK,KELOK
26,KOMPLEKS,KOMPLEKS
27,LALUAN,LALUAN
28,LAMAN,LAMAN
29,LANE,LANE
30,LANGGAK,LANGGAK
31,LBH,LEBUH
31,LEBOH,LEBUH
31,LEBUH,LEBUH
32,LEBUH RAYA,LEBUHRAYA
32,LEBUHRAYA,LEBUHRAYA
33,LEMBAH,LEMBAH
34,LENGKOK,LENGKOK
35,LENGKONGAN,LENGKONGAN
36,LIKU,LIKU
37,LILITAN,LILITAN
38,LINGKARAN,LINGKARAN
39,LINGKONGAN,LINGKUNGAN
39,LINGKUNGAN,LINGKUNGAN
39,LINGKUNGN,LINGKUNGAN
40,LINTANG,LINTANG
41,LINTASAN,LINTASAN
42,LORONG,LORONG
43,LOSONG,LOSONG
44,LURAH,LURAH
45,MAIN STREET,MAIN STREET
46,MEDAN,MEDAN
47,PARIT,PARIT
48,PEKELILING,PEKELILING
49,PERMATANG,PERMATANG
50,PERSIARAN,PERSIARAN
51,PERSISIRAN,PERSISIRAN
52,PESARA,PESARA
50,PESIARAN,PERSIARAN
53,PINGGIR,PINGGIR
54,PINGGIRAN,PINGGIRAN
55,PINTAS,PINTAS
56,PINTASAN,PINTASAN
57,PUNCAK,PUNCAK
58,REGAT,REGAT
59,ROAD,ROAD
60,SEBERANG,SEBERANG
61,SELASAR,SELASAR
62,SELEKOH,SELEKOH
63,SILANG,SILANG
64,SIMPANG,SIMPANG
64,SIMPANGAN,SIMPANG
65,SISIRAN,SISIRAN
66,SOLOK,SOLOK
67,STREET,STREET
68,SUNGAI,SUNGAI
69,SUSUR,SUSUR
69,SUSURAN,SUSUR
70,TAMAN,TAMAN
71,TANJUNG,TANJUNG
72,TEPIAN,TEPIAN
73,TINGGIAN,TINGGIAN
74,TINGKAT,TINGKAT
