sublocality_id,state_id,state_name,sub_locality_name
1,1,JOHOR,1 BUKIT SENYUM
2,1,JOHOR,165 JALAN ABDULLAH
3,1,JOHOR,5 OFF JALAN ZABEDAH
4,1,JOHOR,52 TAMAN DESA MAS
5,1,JOHOR,5KR PARIT BUNGA
6,1,JOHOR,ABDUL RAHMAN ANDAK
7,1,JOHOR,ABU BAKAR
8,1,JOHOR,AFIAT HEALTH PARK
9,1,JOHOR,AHMAD PARIT AMAL
10,1,JOHOR,AIR BALOI
11,1,JOHOR,AIR BEMBAN
12,1,JOHOR,AIR HITAM
13,1,JOHOR,AIR HITAM BATU 16
14,1,JOHOR,AIR HITAM BATU 16 1 2
15,1,JOHOR,AIR HITAM BATU 17
16,1,JOHOR,AIR HTAM
17,1,JOHOR,AIR MASIN
18,1,JOHOR,AIR PANAS
19,1,JOHOR,AIR TAWAR
20,1,JOHOR,AIR TAWAR 2
21,1,JOHOR,AIRPORT LOGISTIC PARK
22,1,JOHOR,ALIFF PUTERI 3 TAMAN DAMANSARA ALIFF
23,1,JOHOR,ALOHA TOWER
24,1,JOHOR,ALOR BUKIT
25,1,JOHOR,AMPUNG DATO ONN JAFFAR
26,1,JOHOR,AMPUNG SEELONG JAYA
27,1,JOHOR,ANJUNG UTARA
28,1,JOHOR,APARTMENT PRIMA REGENCY 5
29,1,JOHOR,APARTMENT PRIMA REGENCY SERVCES
30,1,JOHOR,API API
31,1,JOHOR,API API PARIT 4
32,1,JOHOR,API API PONTIAN
33,1,JOHOR,APRIT RAJA
34,1,JOHOR,ASAM BUBUK
35,1,JOHOR,ASAM KUMBANG LAUT
36,1,JOHOR,ASRAMA STUDENT VILLAGE IIUM
37,1,JOHOR,ASRAMA STUDENT VILLAGE UTHM
38,1,JOHOR,ATAS BUKIT
39,1,JOHOR,AUR BEMBAN
40,1,JOHOR,AYER BALOI
41,1,JOHOR,AYER BEMBAN
42,1,JOHOR,AYER HITAM
43,1,JOHOR,AYER HITAM BATU 18
44,1,JOHOR,AYER HITAM BT 15
45,1,JOHOR,AYER HITAM KLUANG
46,1,JOHOR,AYER HITSM
47,1,JOHOR,AYER ITAM
48,1,JOHOR,AYER MANIS ESTATE
49,1,JOHOR,B10 KAMPUNG BUKIT
50,1,JOHOR,BABA BUKIT PASIR
